avi,avi,video/msvideo
bmp,bmp,image/bmp
csv,csv,text/plain
msw12me,docm,application/vnd.ms-word.document.macroEnabled.12
excel12bbook,xlsb,application/vnd.ms-excel.sheet.binary.macroEnabled.12
msw12,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
dot,dot,application/msword
dotm,dotm,application/vnd.ms-word.template.macroEnabled.12
dotx,dotx,application/vnd.openxmlformats-officedocument.wordprocessingml.template
msw12template,dotx,application/vnd.openxmlformats-officedocument.wordprocessingml.template
doc,doc,application/msword
msw8,doc,application/msword
msw6,doc,application/msword
msw3,doc,application/msword
msww,doc,application/msword
msw,doc,application/msword
msw8template,dot,application/msword  
msw6template,dot,application/msword  
gif,gif,image/gif
htm,htm,text/html
ism,ism,application/octet-stream
ismv,ismv,application/octet-stream
jpeg_preview,jpg,image/jpeg
jpeg_story,jpg,image/jpeg
jpeg_lres,jpg,image/jpeg
jpeg_th,jpg,image/jpeg
jpeg,jpg,image/jpeg
jpg,jpg,image/jpeg
mdi,mdi,image/vnd.ms-modi
mht,mht,multipart/related
quicktime,mov,video/quicktime
mp3,mp3,audio/x-mpeg
mpeg-4v,mp4,video/mp4
mpeg-4a,mp4,audio/mp4
msg,msg,application/vnd.ms-outlook
odt,odt,application/vnd.oasis.opendocument.text
pdf,pdf,application/pdf
png,png,image/png
ppt_mac4,ppt,application/vnd.ms-powerpoint
ppt_mac3,ppt,application/vnd.ms-powerpoint
powerpoint,ppt,application/vnd.ms-powerpoint
ppt,ppt,application/vnd.ms-powerpoint
ppt_win3,ppt,application/vnd.ms-powerpoint
ppt8_slide,ppt,application/vnd.ms-powerpoint
ppt_win4,ppt,application/vnd.ms-powerpoint
ppt_win7,ppt,application/vnd.ms-powerpoint
pptx,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
ppt8,ppt,application/vnd.ms-powerpoint
ppt12,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation 
eml,eml,message/rfc822
eps,eps,application/octet-stream
prn,prn,text/plain
rtf,rtf,application/msword
swf,swf,application/x-shockwave-flash
tiff,tiff,image/tiff
tiffriis,tiffriis,application/octet-stream
txt,txt,text/plain
url,url,text/plain
tif,tif,image/tiff
pdftext,txt,text/plain
teachtextro,txt,text/plain
text,txt,text/plain
indesign7_instr,txt,text/plain
indesign6_instr,txt,text/plain
indesign5_instr,txt,text/plain
indesign3_instr,txt,text/plain
indesign4_instr,txt,text/plain
indesign2_instr,txt,text/plain
crtext,txt,text/plain
mactext,txt,text/plain
wave,wav,audio/wav
wma,wma,audio/x-ms-wma
wp10+,wpd,application/wordperfect
wp8,wpd,application/wordperfect
wps,wps,application/vnd.ms-works
wrf,wrf,application/octet-stream
wp7,wpd,application/wordperfect
wp6,wpd,application/wordperfect
winwrite,wri,application/mswrite
xls,xls,application/vnd.ms-excel
xlsb,xlsb,application/vnd.ms-excel.sheet.binary.macroEnabled.12
xlsm,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
excel,xls,application/vnd.ms-excel
excel2sheet,xls,application/vnd.ms-excel
excel4sheet,xls,application/vnd.ms-excel
excel5book,xls,application/vnd.ms-excel
excel8book,xls,application/vnd.ms-excel
exe,exe,application/octet-stream
ext,ext,application/vnd.novadigm.ext
forbes,forbes,application/octet-stream
excel12mebook,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
xlsx,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
xlt,xlt,application/vnd.openxmlformats-officedocument.spreadsheetml.template
xltx,xltx,application/vnd.openxmlformats-officedocument.spreadsheetml.template
excel12book,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
excel12template,xltx,application/vnd.openxmlformats-officedocument.spreadsheetml.template
msw12metemplate,dotm,application/vnd.ms-word.template.macroEnabled.12
excel12metemplate,xltm,application/vnd.ms-excel.template.macroEnabled.12
ppt12me,pptm,application/vnd.ms-powerpoint.presentation.macroEnabled.12
msproject,mpp,application/vnd.ms-project
xml,xml,text/xml
html,htm,text/html
xps,xps,application/vnd.ms-xpsdocument
zip,zip,application/x-zip-compressed
zip_pub_html,zip,application/x-zip-compressed
zip_html,zip,application/x-zip-compressed
zipx,zipx,application/zip
wmv,wmv,video/x-ms-wmv
vsd1,vsd,application/vnd.visio
vsd2,vsd,application/vnd.visio
vsd3,vsd,application/vnd.visio
vsd4,vsd,application/vnd.visio
ps,ps,application/postscript
css,css,text/css
ods,ods,application/vnd.oasis.opendocument.spreadsheet
ots,ots,application/vnd.oasis.opendocument.spreadsheet-template
one,one,application/msonenote
ics,ics,text/calendar
rtf,rtf,text/richtext
vcf,vcf,text/x-vcard
x-vcard,x-vcard,text/x-vcard
vsdx,vsdx,application/vnd.ms-visio.viewer
vsd,vsd,application/vnd.ms-visio.viewer
pjpeg,pjpeg,image/pjpeg
snp,snp,application/snapview
mdb,mdb,application/msaccess
atom,atom,application/atom+xml
dat,dat,text/plain
docm,docm,application/vnd.ms-word.document.macroEnabled.12
tifhogan,tifhogan,text/plain
db,db,application/x-sqlite3
